Country,Region,Year,Water Source Type,Contaminant Level (ppm),pH Level,Turbidity (NTU),Dissolved Oxygen (mg/L),Nitrate Level (mg/L),Lead Concentration (µg/L),Bacteria Count (CFU/mL),Water Treatment Method,Access to Clean Water (% of Population),"Diarrheal Cases per 100,000 people","Cholera Cases per 100,000 people","Typhoid Cases per 100,000 people","Infant Mortality Rate (per 1,000 live births)",GDP per Capita (USD),Healthcare Access Index (0-100),Urbanization Rate (%),Sanitation Coverage (% of Population),Rainfall (mm per year),Temperature (°C),Population Density (people per km²)
China,North,2004,Lake,3.93,7.17,2.03,5.69,12.65,16.09,298,Boiling,86.77,108,28,76,65.97,28461,73.25,34.5,96.02,331,37.42,190
Mexico,West,2021,River,2.91,6.25,4.86,3.66,40.52,6.12,2567,Filtration,95.63,459,5,9,92.21,38537,77.84,47.5,52.88,1925,36.57,709
India,East,2012,Lake,8.23,6.84,2.32,5.8,1.42,6.3,3566,Boiling,90.89,387,46,35,83.54,23263,84.36,64.68,98.39,1816,26.19,59
Pakistan,West,2018,Spring,4.51,6.95,4.85,4.47,34.51,17.4,4039,None,47.01,326,40,94,71.12,69970,86.49,18.72,25.43,2097,13.54,331
Ethiopia,East,2002,River,5.01,7.16,0.98,7.76,29.71,11.18,274,Filtration,61.2,9,34,15,32.83,59035,48.31,30.46,83.28,545,4.5,508
Ethiopia,South,2007,Tap,5.21,7.17,4.52,5.55,7.21,17.75,2995,Chlorination,53.97,469,20,35,50.57,22498,40.02,73.6,57.87,2162,37.58,92
USA,North,2011,River,4.48,6.64,0.07,4.03,8.3,8.26,52,Chlorination,79.52,126,44,89,94.56,7585,75.1,63.61,43.16,2331,36.82,545
Bangladesh,West,2001,Pond,2.56,8.13,2.73,5.45,32.96,6.88,1423,None,88.2,472,44,83,4.27,62008,56.94,31.3,79.83,2289,29.73,78
Mexico,East,2010,Well,1.2,6.89,2.12,4.57,15.61,10.12,1627,None,45.11,156,22,33,79.84,47300,96.53,41.85,70.83,2682,37.36,17
Indonesia,Central,2011,Pond,0.99,6.57,2.63,8.57,13.29,1.23,488,Chlorination,96.31,230,34,36,26.68,82686,37.58,19.58,92.23,1389,5.59,925
Ethiopia,North,2017,River,7.57,6.44,2.77,9.88,2.96,3.08,2354,Chlorination,77.41,14,45,71,20.13,73353,4.29,30.25,39.9,1650,4.37,770
Pakistan,South,2012,Tap,2.24,6.81,1.95,3.18,38.32,4.39,416,None,45.29,274,1,67,24.76,95522,58.93,77.29,95.18,2295,7.68,108
India,East,2004,Lake,0.56,6.17,4.99,7.83,44.13,16.33,2556,Chlorination,55.98,486,41,58,7.86,18764,35.35,45.23,71.35,1265,8.62,843
Ethiopia,South,2021,River,7.98,6.08,4.88,4.85,40.99,14.68,920,Filtration,37.32,441,8,28,99.21,83968,34.27,61.22,56.03,384,33.09,719
India,South,2011,Pond,1.54,7.51,4.81,3.46,23.3,3.87,1553,None,71.79,365,12,30,87.25,33649,56.45,22.78,24.25,2045,36.87,836
Nigeria,West,2001,River,6.25,7.55,4.9,3.1,26.7,5.53,2685,Filtration,41.84,436,42,65,53.06,34903,92.18,24.66,81.21,1455,8.62,217
Nigeria,West,2004,River,3.39,7.32,3.97,9.17,12.11,18.89,665,Boiling,78.52,45,33,88,72.08,62313,26.7,85.27,88.67,600,18.51,824
Bangladesh,East,2006,River,1.26,7.91,4.94,5.48,8.64,1.72,4101,Filtration,81.61,273,15,2,56.55,58528,37.96,77.31,84.77,1914,18.18,941
China,Central,2023,Tap,4.14,6.1,4.46,9.96,41.15,10.95,2469,None,63.55,105,4,68,81.53,10976,89.12,73.23,78.85,1360,7.11,907
Indonesia,East,2011,Spring,0.15,8.34,2.08,6.1,39.92,10.44,1474,Boiling,36.57,2,0,21,84.79,45118,89.52,36.37,97.55,1947,34.13,201
USA,Central,2015,Spring,8.41,6.24,3.92,4.31,38.87,14.51,337,Chlorination,72.76,325,39,79,24.81,60216,23.46,55.02,87.93,1743,20.9,983
Bangladesh,South,2022,River,5.13,7.69,4.56,8.44,23.17,5.23,3159,Filtration,56.05,252,21,72,47.06,65900,70.63,49.39,94.23,1456,22.65,943
Brazil,North,2007,Tap,1.39,6.33,3.56,9.49,43.23,18.7,268,Filtration,96.48,21,47,52,64.22,7917,41.56,86.5,78.44,2182,10.34,381
USA,East,2008,Tap,2.37,8.2,2.11,8.71,46.31,8.21,1087,None,65.92,54,45,47,97.89,68673,93.6,29.17,85.62,1591,22.37,35
Mexico,East,2014,River,4.48,7.28,0.33,8.22,16.42,5.71,1293,Chlorination,35.06,373,25,72,68.9,48393,73.22,85.78,43.13,2175,31.7,516
Pakistan,Central,2004,Pond,1.89,6.21,4.05,5.34,11.23,6.74,656,None,74.52,447,33,75,89.97,6070,49.44,66.55,73.51,1170,12.2,157
Brazil,South,2012,Pond,2.69,7.54,4.76,3.45,23.21,6.97,2828,Chlorination,84.55,296,49,46,84.92,87269,81.74,43.1,36.44,2749,4.53,870
Brazil,South,2004,Well,5.34,6.02,1.81,4.41,8.97,3.98,3973,None,41.24,109,20,41,59.04,39318,99.79,31.31,25.54,2614,23.36,387
Bangladesh,Central,2010,River,8.33,7.94,0.76,6.13,44.2,18.56,4957,Chlorination,61.43,372,6,3,89.58,26521,44.7,70.59,66.34,2508,25.43,525
China,South,2009,Well,4.02,7.63,1.63,9.69,16.9,3.5,1336,Boiling,82.02,222,24,81,38.99,22829,37.35,75.83,82.63,1287,8.08,989
Bangladesh,West,2019,Pond,7.17,6.53,2.91,8.06,28.81,17.66,2356,None,31.43,468,11,81,39.17,33179,60.7,38.6,26.62,2939,9.93,993
Mexico,North,2012,Pond,8.77,6.94,1.58,8.8,29.74,8.1,1667,Boiling,32.03,247,30,41,78.53,63179,68.31,23.75,34.5,2747,6.12,74
Ethiopia,East,2008,River,2.16,6.02,3.05,4.94,25.75,5.39,1825,None,77.38,135,46,42,15.19,49672,70.44,49.38,27.44,2603,36.86,738
Ethiopia,North,2020,Well,8.07,7.73,4.83,7.79,7.83,3.97,4030,None,80.76,320,26,96,31.97,78628,47.36,47.48,70.73,1774,8.52,919
China,East,2013,Well,7.57,6.81,3.35,9.04,49.55,10.09,1212,None,89.21,386,21,41,61.64,94036,33.23,68.03,26.36,1592,0.43,812
Mexico,West,2017,River,3.57,7.43,1.81,6.36,8.63,13.39,2768,Filtration,57.97,412,33,2,43.17,13391,82.19,87.85,27.46,1715,33.61,638
China,South,2014,Well,9.9,8.39,4.68,6.01,37.58,17.96,4415,None,57.28,245,16,58,94.19,99813,95.83,52.5,41.13,2893,32.13,606
India,Central,2009,Lake,2.63,6.75,2.83,8.04,39.57,13.05,3058,Chlorination,68.67,69,10,80,95.93,46000,86.4,68.54,41.62,604,18.26,829
Ethiopia,West,2023,Pond,2.55,8.48,0.64,6.92,7.26,9.67,444,Filtration,83.01,480,28,75,51.25,8279,68.24,38.05,64.6,2155,31.89,288
Brazil,North,2006,Spring,7.72,7.58,2.49,9.95,46.66,0.67,1397,Chlorination,74.87,17,33,10,54.83,47869,36.02,57.97,22.57,2265,17.98,375
Indonesia,Central,2007,Tap,4.35,6.61,3.27,5.98,24.39,18.31,4381,Chlorination,52.91,489,36,80,73.01,40408,62.25,19.23,69.23,567,8.98,797
Pakistan,South,2002,Well,3.31,7.09,4.19,4.23,31.44,18.05,2218,Chlorination,54.26,496,48,34,46.81,54939,10.12,75.19,52.94,1480,17.04,867
Mexico,West,2014,Well,1.79,7.85,4.68,6.3,32.11,7.57,3676,Chlorination,83.41,185,47,49,20.63,58925,53.39,37.55,34.3,420,19.47,508
USA,Central,2015,Tap,7.65,7.12,1.59,4.65,25.25,0.58,2310,Chlorination,67.43,116,25,62,75.2,19532,78.12,16.4,72.27,2520,0.36,804
China,West,2003,Well,7.86,6.17,0.78,6.93,7.1,14.67,4040,Boiling,36.86,256,44,69,74.3,63648,25.11,89.24,46.37,1470,4.53,178
Pakistan,West,2020,Tap,5.67,6.42,0.37,3.88,37.59,15.83,3606,Filtration,40.71,277,44,98,26.01,73860,50.15,82.14,86.2,1793,34.99,471
USA,South,2005,River,9.57,7.98,3.69,9.65,29.09,10.85,1827,Chlorination,89.58,94,44,5,83.63,15468,7.33,25.79,99.15,1470,15.7,429
Pakistan,East,2000,Lake,3.18,7.62,3.98,9.02,5.93,8.06,3219,Boiling,99.92,406,31,31,62.14,54504,83.85,39.06,82.32,372,13.26,909
Indonesia,Central,2003,Lake,2.2,7.42,2.05,4.09,35.02,17.02,4688,Boiling,53.5,391,36,10,25.16,45879,35.02,84.94,79.44,1551,35.53,547
USA,South,2010,Pond,6.77,6.42,1.98,4.21,35.14,3.85,4511,Chlorination,57.07,412,4,42,65.9,49512,58.22,73.71,48.41,322,6.18,885
Bangladesh,West,2011,Spring,7.58,8.09,4.77,6.59,27.42,8.79,2072,None,40.81,427,19,38,24.89,30257,37.85,82.51,62.77,1952,8.68,49
Nigeria,South,2004,Well,2.25,8.4,4.58,8.41,4.53,0.49,4189,Chlorination,46.5,114,6,12,27.99,47692,59.76,55.0,24.21,2714,33.12,517
Bangladesh,East,2022,Spring,0.77,6.1,1.17,4.53,17.63,3.28,2330,Boiling,59.72,493,42,12,85.1,81053,74.42,29.45,78.19,835,11.19,729
Ethiopia,Central,2020,River,8.11,6.2,3.9,3.43,2.55,18.82,685,Chlorination,49.91,61,22,38,93.09,28832,32.68,28.16,74.0,2937,25.33,372
Nigeria,East,2015,Lake,9.77,8.21,3.11,6.82,23.88,11.56,4958,Boiling,79.1,274,0,45,27.17,63039,51.93,52.05,41.55,1454,29.58,496
Bangladesh,North,2012,River,6.45,8.04,0.77,7.84,45.32,16.11,684,Chlorination,67.65,314,38,33,92.95,52104,79.49,83.92,62.73,1535,8.91,93
Nigeria,Central,2012,River,2.78,7.54,1.78,4.71,0.11,9.73,2937,Boiling,87.56,496,2,66,25.4,7008,68.79,60.53,74.35,2896,10.14,247
Nigeria,East,2016,Well,9.97,8.36,0.89,8.18,13.33,16.7,3711,Chlorination,80.72,123,44,31,13.49,61838,5.71,12.75,49.43,1699,20.65,353
Brazil,West,2006,River,8.93,7.62,1.48,9.65,39.99,10.78,340,None,38.97,79,2,67,7.71,45427,56.88,54.84,78.05,700,31.69,467
China,Central,2007,Lake,5.13,6.54,3.08,3.96,0.49,0.09,4699,None,38.64,146,5,64,25.73,12433,37.63,58.68,83.74,1856,22.18,715
China,Central,2012,Spring,8.25,7.82,1.88,6.58,0.51,17.99,733,Boiling,92.7,484,30,72,39.75,12605,70.88,56.52,37.88,2568,2.69,518
Brazil,South,2022,Lake,8.16,7.61,1.97,3.4,30.54,2.97,1496,None,87.37,21,26,6,92.9,45256,1.67,65.29,44.1,2096,14.03,850
Pakistan,West,2015,Well,9.35,8.46,2.7,4.45,39.46,9.01,3893,None,62.75,82,28,90,25.73,25460,33.06,33.48,52.13,2308,13.23,347
India,North,2003,Lake,8.41,6.53,0.44,3.63,38.83,9.53,2954,Filtration,39.13,323,14,2,37.82,53756,8.65,21.5,38.85,1361,32.3,883
Pakistan,East,2007,Tap,6.44,7.49,3.69,5.83,38.98,0.94,1131,Chlorination,92.9,4,35,85,73.95,44022,92.05,70.0,82.05,325,11.59,871
USA,South,2015,Spring,6.09,7.95,2.01,8.75,18.05,1.06,4635,Chlorination,46.15,260,4,79,31.6,8036,87.65,25.71,65.75,391,36.05,780
USA,East,2020,Tap,4.67,6.85,2.4,7.04,44.14,15.25,1732,None,32.49,408,2,71,69.07,23336,96.81,19.13,50.41,2169,13.4,713
Nigeria,North,2009,Tap,6.26,6.95,4.87,4.56,0.64,6.01,3035,None,94.7,279,24,68,44.34,2717,64.35,38.75,21.28,2440,7.76,806
Bangladesh,North,2024,Pond,7.95,8.22,1.72,3.28,15.61,8.19,2713,Boiling,86.63,128,31,48,21.25,82566,80.7,76.62,46.07,788,21.6,191
Bangladesh,Central,2011,Well,9.69,7.01,3.24,6.87,16.86,11.28,2479,Chlorination,78.54,113,20,57,73.94,28665,61.19,16.57,86.92,942,15.46,16
China,North,2011,River,4.67,7.56,1.96,3.93,8.28,7.47,1419,Filtration,32.38,283,47,93,4.65,84346,49.2,25.64,79.48,2630,25.9,674
Mexico,East,2004,Tap,5.74,8.22,4.47,5.4,16.81,15.5,1989,Filtration,66.99,46,16,27,30.65,69790,83.38,48.02,25.39,1316,36.63,417
Pakistan,West,2015,Lake,4.45,6.52,4.23,6.57,29.29,17.69,4710,None,75.75,340,8,26,36.91,41539,77.62,33.01,84.12,1025,37.63,308
Ethiopia,West,2000,River,6.68,8.45,1.21,9.33,26.01,1.19,487,Boiling,83.15,187,25,21,46.91,29975,73.33,67.73,34.32,1903,9.09,271
Indonesia,Central,2008,Lake,6.3,7.75,3.46,3.57,15.97,12.71,3819,Boiling,62.98,18,21,93,68.63,72631,89.39,63.99,98.96,2951,6.49,408
Bangladesh,East,2011,Lake,0.18,7.24,0.33,7.68,37.47,6.35,1441,Chlorination,96.73,86,40,70,47.02,94149,92.87,77.4,89.48,2856,37.6,600
Indonesia,East,2004,River,5.41,7.08,4.82,3.1,35.74,11.67,2390,None,47.13,141,45,93,60.24,17861,44.53,26.31,93.06,1353,32.5,561
Nigeria,North,2021,River,0.88,8.39,1.74,7.41,14.03,9.68,1384,None,34.88,250,22,12,60.39,14366,28.28,61.91,81.56,2472,10.47,484
Indonesia,East,2019,Lake,0.26,6.51,4.16,6.86,16.16,6.67,2156,Boiling,53.29,325,10,21,38.58,19688,51.18,71.98,76.86,1951,32.2,198
Ethiopia,South,2021,Well,7.91,6.78,1.59,8.68,14.38,1.9,4944,Filtration,76.33,479,9,74,93.53,57231,9.31,15.01,39.55,2259,29.64,900
Brazil,North,2023,Spring,2.59,6.77,3.16,6.72,6.44,11.19,4396,Filtration,81.6,369,22,4,95.67,59429,93.82,12.95,66.91,2595,10.14,286
Ethiopia,South,2002,Pond,3.41,6.72,4.92,5.47,37.64,2.26,1391,Chlorination,81.69,479,4,21,59.02,4890,98.39,54.74,75.71,2321,36.23,771
Indonesia,Central,2004,Spring,0.64,7.17,4.38,4.7,2.31,3.12,4800,None,37.75,7,25,78,9.03,75381,65.27,57.03,43.05,1334,12.87,835
Ethiopia,West,2001,Well,1.8,8.47,0.8,3.6,7.53,19.64,3142,None,91.96,36,3,52,50.13,6512,74.62,41.42,51.86,1705,19.21,630
India,Central,2013,Pond,7.66,8.22,2.74,6.74,5.27,6.33,268,Filtration,49.66,85,42,38,20.07,71919,32.37,12.89,95.76,2444,24.37,519
Nigeria,West,2001,River,4.94,6.82,1.74,9.22,41.27,11.69,3917,None,44.69,71,26,36,49.36,54936,86.63,42.15,52.64,2438,7.65,105
Pakistan,Central,2012,Pond,8.81,7.06,2.17,6.6,2.2,5.44,1524,None,73.01,380,37,30,20.47,28006,90.03,61.37,45.23,2009,24.45,41
Brazil,East,2006,Lake,3.97,7.67,1.68,8.17,33.23,17.31,477,Boiling,44.83,485,33,61,70.98,85998,7.69,66.15,28.58,2189,28.25,277
Bangladesh,South,2009,Spring,2.69,6.04,1.68,5.09,2.22,5.67,4271,Chlorination,65.56,265,2,92,9.88,21048,13.14,49.42,47.31,2898,4.06,757
USA,West,2012,Pond,3.48,8.05,2.71,6.14,39.32,7.34,238,Chlorination,58.49,66,49,80,95.42,5151,26.09,52.0,68.97,693,15.17,402
Pakistan,North,2015,Lake,7.13,8.2,0.96,5.27,45.64,12.17,609,Chlorination,46.24,140,31,5,21.15,68992,70.37,63.81,31.82,2910,24.48,541
USA,South,2013,Well,5.55,8.14,2.69,3.76,24.34,17.4,4587,Boiling,50.44,294,25,80,66.74,29671,18.34,45.94,68.42,2507,37.05,408
Nigeria,North,2010,Pond,9.04,6.94,1.39,5.92,40.23,16.32,4424,Chlorination,59.92,63,17,33,91.86,49525,22.01,31.08,79.3,368,35.64,726
Brazil,South,2009,Lake,6.02,7.15,1.44,8.35,35.32,5.28,3397,Chlorination,54.23,29,6,86,26.29,94028,38.19,27.84,81.46,376,6.79,247
China,South,2005,Well,4.93,6.03,3.69,5.76,39.78,16.59,4540,Filtration,56.71,387,44,51,93.56,91512,61.16,70.22,98.78,1368,24.42,913
Bangladesh,Central,2003,River,7.86,7.0,0.15,7.55,38.34,14.02,4537,Filtration,81.48,44,12,29,40.09,66695,97.63,49.0,54.76,786,3.92,542
India,West,2020,Well,9.48,7.15,1.9,8.31,10.27,19.8,4890,Chlorination,41.79,133,5,12,96.13,8305,78.39,59.93,22.59,254,11.76,822
China,West,2000,Well,3.56,8.27,2.04,5.26,24.98,18.71,1831,Boiling,73.93,15,34,57,97.19,66796,55.83,47.69,88.38,2881,23.89,738
Nigeria,South,2006,Spring,2.5,8.23,2.43,8.58,48.02,10.66,4986,Boiling,77.47,277,30,93,20.43,96809,4.94,75.51,26.68,2786,3.25,642
Pakistan,East,2023,Lake,6.16,8.42,3.35,5.37,17.18,15.0,1154,Boiling,86.15,218,41,52,83.45,34226,51.68,49.75,88.93,2934,35.55,817
India,East,2008,Pond,4.99,8.21,1.85,4.79,48.52,11.4,1751,None,89.31,276,36,19,20.96,94103,20.41,89.04,98.62,335,33.16,359
Ethiopia,North,2007,Spring,9.89,6.02,1.07,4.56,29.16,11.9,3598,None,41.11,220,42,5,24.19,43218,30.01,29.41,92.55,1246,18.94,360
Indonesia,North,2004,Tap,4.62,7.6,4.42,4.4,23.08,2.03,2485,Boiling,39.68,192,3,54,10.24,39108,25.09,21.08,97.12,737,19.67,783
India,Central,2018,Well,0.74,6.17,4.91,8.16,32.89,0.04,3338,Filtration,73.03,157,41,30,17.34,4908,34.74,39.89,21.87,2409,35.25,776
Nigeria,South,2009,Tap,9.77,6.68,0.1,9.21,40.79,0.96,2333,None,82.98,23,3,58,63.96,67891,6.23,83.49,20.91,2407,2.02,20
Mexico,North,2010,Spring,8.44,7.45,2.73,4.61,19.71,19.33,4386,Boiling,49.06,319,44,18,46.03,93821,57.68,78.19,36.82,2765,5.76,73
Indonesia,North,2024,Lake,1.78,7.75,1.71,3.6,1.65,2.53,4463,None,66.81,140,7,69,79.51,82774,4.58,29.79,83.9,1928,12.32,947
USA,South,2014,Spring,9.05,7.64,1.38,5.2,35.44,0.89,4581,None,84.06,221,37,97,34.54,71657,66.06,57.98,27.15,1600,14.58,131
Bangladesh,Central,2005,Lake,3.41,6.12,1.68,7.6,47.81,6.19,167,None,83.73,25,10,27,96.93,62553,73.08,57.12,79.72,514,39.5,196
USA,North,2014,Lake,3.77,6.26,3.19,5.58,31.25,11.76,3542,None,75.77,97,1,12,6.89,53846,48.61,33.47,21.0,2937,5.9,401
India,Central,2004,River,9.06,6.32,0.95,6.84,9.42,18.97,4009,Boiling,35.52,275,17,51,8.17,93050,78.13,28.83,78.49,907,12.12,209
USA,West,2018,Well,5.3,6.23,4.56,8.21,12.41,14.0,77,None,33.55,60,17,73,70.73,69198,96.74,41.2,40.01,1440,33.12,64
Nigeria,Central,2021,Spring,1.38,6.45,2.33,5.86,45.49,5.53,2898,Chlorination,57.19,379,21,60,88.98,86300,34.01,73.09,55.24,463,31.37,391
Ethiopia,East,2018,Lake,3.69,7.72,1.63,10.0,0.68,18.78,1108,Boiling,31.87,242,11,40,79.96,74431,61.89,25.34,98.12,1775,26.19,304
Pakistan,East,2009,Spring,7.22,8.08,3.83,5.09,27.44,0.72,891,Boiling,93.29,389,16,44,50.0,53617,32.37,45.66,64.14,2587,13.14,956
Bangladesh,Central,2011,Spring,1.74,7.02,0.08,9.85,7.93,19.58,4756,Boiling,31.41,426,16,6,28.42,59617,44.34,48.54,25.97,661,4.71,64
USA,East,2021,Lake,5.9,7.73,2.16,4.42,14.14,1.17,1224,None,32.07,432,35,81,3.32,66644,2.08,85.13,89.85,2247,39.34,853
USA,West,2003,Pond,6.95,6.5,1.78,3.78,15.35,15.08,4684,Boiling,41.57,8,28,85,51.93,27756,7.43,34.28,45.89,1384,10.06,652
India,South,2017,Tap,3.44,8.43,1.69,8.26,10.96,0.91,564,Filtration,73.89,383,48,13,48.61,8576,79.75,11.57,66.83,513,33.79,436
Pakistan,East,2015,Well,6.94,6.87,1.69,7.92,39.62,18.63,2859,Chlorination,67.91,356,15,35,35.74,34408,13.99,65.5,76.94,1083,35.8,950
China,East,2007,Well,8.84,8.11,0.16,8.68,16.61,2.17,301,Filtration,76.16,420,40,7,58.65,12853,69.92,70.46,82.2,330,17.64,89
USA,Central,2003,Pond,4.72,8.36,0.76,5.41,17.27,1.01,4389,Chlorination,92.55,271,10,11,73.42,92790,70.89,66.24,54.6,2326,34.03,649
Nigeria,West,2024,River,3.83,8.16,0.71,9.52,22.65,17.79,108,Chlorination,61.85,259,43,39,70.69,70910,99.62,66.06,81.85,866,11.16,498
Mexico,South,2022,Pond,2.51,6.17,4.94,3.84,45.11,1.92,2412,None,33.07,31,42,96,27.8,71032,69.56,48.66,29.35,1690,35.6,740
Bangladesh,Central,2011,River,6.04,7.63,0.11,3.21,34.41,15.96,2647,Chlorination,83.44,339,44,87,59.36,87343,12.87,11.49,62.05,264,25.44,281
USA,Central,2001,River,8.8,6.3,0.84,5.1,3.09,14.94,2725,Chlorination,86.84,92,21,61,16.58,46965,62.65,68.39,21.75,768,7.77,270
Nigeria,West,2003,Pond,3.25,6.01,4.87,8.58,1.96,11.98,3338,Filtration,33.49,478,29,13,13.92,8673,52.41,84.92,52.5,1642,31.46,260
Nigeria,South,2004,Well,3.96,6.13,3.14,7.71,28.32,7.56,2140,Chlorination,47.0,127,7,48,79.01,39503,91.74,22.59,49.18,2216,36.55,305
Bangladesh,West,2002,Tap,4.07,8.29,2.25,6.05,44.35,18.31,4523,Boiling,83.94,236,45,50,69.99,5696,69.02,15.43,98.25,1146,22.82,981
China,South,2008,Well,5.61,8.27,0.39,4.79,16.16,17.42,4733,Boiling,56.33,16,17,61,77.26,8417,51.85,31.22,51.83,251,30.41,844
Nigeria,West,2020,Well,2.28,6.56,3.35,3.41,12.39,8.52,3813,Chlorination,63.09,40,45,4,16.94,48879,62.42,77.98,92.57,1143,31.79,748
Mexico,Central,2017,Well,8.22,7.37,0.69,5.36,37.41,4.63,4200,Boiling,87.62,472,15,82,91.63,66774,44.35,18.49,54.82,1727,31.5,182
Nigeria,Central,2010,Pond,2.96,8.39,3.36,6.22,30.1,5.45,2256,None,36.62,300,46,66,15.04,80219,50.84,67.21,62.67,2584,18.18,908
Nigeria,North,2002,Pond,7.05,7.24,4.9,7.81,28.25,4.41,3645,Boiling,77.41,271,19,0,87.26,89907,72.23,15.04,48.06,338,29.6,262
Nigeria,East,2024,Pond,5.13,6.98,2.66,7.52,7.47,10.83,3059,None,45.05,275,38,96,36.53,11392,7.83,12.62,71.2,591,21.94,936
Ethiopia,West,2022,Well,5.86,7.21,1.07,9.63,8.8,17.37,2521,Chlorination,34.39,41,7,48,12.33,64041,61.53,81.3,79.13,433,16.59,545
Ethiopia,North,2001,Tap,1.8,7.98,3.13,3.7,14.09,15.47,3417,None,76.37,265,29,16,30.1,36991,8.82,71.64,83.28,631,6.63,498
China,East,2008,River,7.35,7.19,2.56,5.35,10.34,15.91,11,None,38.5,51,37,72,19.78,1157,85.51,57.89,75.52,487,36.36,806
USA,West,2013,Spring,1.89,7.96,2.67,6.37,48.57,8.97,4744,Chlorination,82.29,187,28,94,50.09,89732,94.25,23.76,46.4,2276,16.6,135
Nigeria,South,2003,River,1.13,7.08,2.39,7.69,0.93,6.45,3266,Chlorination,44.19,431,12,34,95.08,85146,78.02,32.31,46.45,1329,9.58,777
Pakistan,East,2008,River,5.47,6.63,3.37,6.47,31.3,15.15,3145,None,33.4,150,16,66,34.13,75337,71.8,13.89,47.83,807,9.69,448
USA,Central,2012,Spring,7.09,6.82,2.86,9.39,25.88,15.87,874,Filtration,36.95,243,39,12,61.99,52864,94.37,61.63,23.03,2751,9.68,298
China,North,2017,Well,0.5,6.19,4.93,7.26,16.16,13.91,2433,Chlorination,88.89,288,42,36,89.39,23072,21.85,64.89,95.44,832,0.1,188
Brazil,East,2014,Tap,0.69,7.24,4.13,3.28,44.38,0.64,883,Chlorination,55.97,490,16,37,63.75,96371,22.88,36.14,35.66,815,17.53,89
USA,East,2009,Tap,8.03,6.37,1.32,3.8,33.51,11.79,4650,Filtration,51.16,126,8,77,37.5,24921,48.1,37.07,32.74,2124,35.63,106
USA,Central,2015,River,8.09,8.03,3.63,8.27,49.92,6.94,3985,Boiling,64.38,204,1,5,99.1,2664,0.75,60.32,64.19,2900,1.01,723
Indonesia,West,2011,Spring,2.45,7.05,1.07,8.01,8.43,3.92,1579,Filtration,74.31,408,41,92,20.37,54792,96.51,85.65,23.79,2545,38.26,39
India,South,2019,Lake,6.15,7.91,3.91,4.07,4.39,13.89,3771,Boiling,32.6,305,23,62,53.28,70667,3.23,41.58,87.03,1489,7.16,582
Indonesia,Central,2004,Well,4.43,8.39,0.74,3.41,6.97,5.37,352,Filtration,92.87,356,20,48,80.08,63439,59.61,49.49,90.1,1377,28.75,453
Mexico,South,2001,River,6.33,8.12,2.37,7.05,13.46,18.26,1506,None,97.09,99,45,8,2.06,21398,35.4,65.86,51.82,993,31.41,684
Ethiopia,West,2009,Tap,8.63,8.38,3.95,7.45,20.84,5.96,3487,Chlorination,59.21,343,1,35,70.8,32232,10.3,37.39,97.71,2972,29.4,272
Ethiopia,East,2000,Pond,0.8,7.42,1.4,3.95,43.13,11.1,2851,Filtration,58.88,453,4,22,28.12,62937,2.46,79.51,45.94,1118,13.57,399
India,South,2006,Pond,7.78,6.41,4.19,6.32,14.18,16.56,2029,Chlorination,91.5,78,16,78,18.63,93987,26.24,77.69,40.82,1299,28.15,664
Bangladesh,North,2016,Spring,4.93,8.34,3.22,5.14,45.76,8.04,1846,Boiling,60.05,182,23,56,28.87,89045,10.67,63.94,99.18,959,18.92,873
Bangladesh,North,2015,Spring,5.64,8.17,1.99,9.52,23.15,16.57,2390,None,89.93,97,7,49,96.75,45098,94.03,52.95,40.02,1025,6.09,75
China,Central,2023,River,6.54,8.16,2.12,4.53,32.35,14.47,4030,Chlorination,31.98,67,29,58,89.41,5696,24.48,88.68,55.54,2347,8.04,745
India,West,2002,Lake,9.23,7.73,4.63,8.13,13.22,18.42,3438,Filtration,64.28,333,49,6,22.95,34189,9.41,66.19,68.95,2151,1.04,741
USA,Central,2013,Tap,0.57,7.56,1.09,6.63,7.8,6.52,2383,Filtration,96.67,387,21,46,13.47,87207,76.97,61.46,45.8,473,13.28,862
Bangladesh,Central,2009,River,0.29,6.04,3.47,3.08,43.47,2.1,3367,None,47.7,27,23,88,37.69,63048,41.43,80.15,50.74,2545,29.12,794
Nigeria,Central,2021,Lake,1.78,7.87,3.54,6.62,5.48,8.61,4980,Boiling,48.63,28,25,86,60.05,95519,84.37,54.4,77.66,411,38.76,540
Pakistan,North,2006,Spring,9.86,6.23,4.61,3.7,38.7,15.72,1465,None,74.11,337,7,74,86.98,28615,83.84,29.43,77.84,1155,5.34,279
USA,North,2016,Pond,7.15,6.65,3.57,7.61,29.05,9.01,2151,None,94.83,121,11,55,96.68,88190,99.24,21.02,84.29,2536,14.13,58
Mexico,Central,2005,Well,6.15,7.38,2.92,6.96,43.06,5.24,3483,Chlorination,43.91,211,13,7,75.61,53989,80.38,47.68,67.5,2456,7.26,828
Nigeria,North,2022,Pond,0.47,7.13,4.51,3.07,35.89,0.55,573,Boiling,94.52,175,29,35,60.7,86449,21.42,51.25,38.68,1794,30.44,43
Nigeria,West,2021,Tap,8.79,6.04,4.15,4.43,14.08,6.26,774,None,76.41,104,34,41,15.95,9779,58.64,76.22,46.65,2859,36.78,249
India,Central,2003,Tap,8.13,8.06,3.58,8.43,28.72,14.27,3365,Chlorination,99.51,479,30,38,9.25,93778,52.63,21.16,92.06,896,4.56,605
